species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Passer domesticus,Extremadura,Jarilla--Embalse,2017-10-17,10,40.17398,-6.023071,8.0
Passer domesticus,Castilla y León,Garray--pueblo y dehesa,2017-04-02,4,41.814507,-2.458405,15.0
Passer domesticus,Madrid Comunidad de,Valdetorres de Jarama ZEPA,2017-03-04,3,40.72013,-3.489618,0.0
Passer domesticus,Madrid Comunidad de,Parque El Retiro-Madrid,2017-12-07,12,40.416504,-3.68351,4.0
Passer domesticus,Castilla y León,Lagunas de Villafáfila RNat--Área General,2017-08-10,8,41.840794,-5.594144,9.0
Passer domesticus,Andalucía,Zapata,2017-10-21,10,36.696373,-4.515916,30.0
Passer domesticus,Castilla-La Mancha,Corral-Rubio,2017-12-07,12,38.83542,-1.460109,4.0
Passer domesticus,Cataluña,Barcelona--Parc Güell,2017-01-18,1,41.41417,2.152162,30.0
Passer domesticus,Extremadura,Villar de Plasencia--Pueblo,2017-11-04,11,40.138386,-6.029435,14.0
Passer domesticus,Extremadura,Zarza de Granadilla--Vegas Río Ambroz,2017-11-02,11,40.20194,-6.055017,10.0
Passer domesticus,Extremadura,Galisteo--Gravera de Viñuelas,2017-12-15,12,39.98821,-6.308703,12.0
Passer domesticus,Castilla-La Mancha,Dehesa de Fuertescusa,2017-08-19,8,40.469063,-2.151153,0.0
Passer domesticus,Navarra Comunidad Foral de,Artica--Parque de los Aromas,2017-11-11,11,42.83203,-1.656515,50.0
Passer domesticus,Asturias Principado de,Ponga PNat--San Juan de Beleño,2017-08-03,8,43.190723,-5.165153,0.0
Passer domesticus,Extremadura,Monfragüe PN--General (use specific hotspot if possible),2017-11-29,11,39.828617,-6.002726,20.0
Passer domesticus,Aragón,Montoro de Mezquita--Las Suertes,2017-08-15,8,40.692596,-0.593934,0.0
Passer domesticus,Extremadura,Casatejada--Charco Salado,2017-04-02,4,39.87569,-5.742553,0.0
Passer domesticus,Illes Baleares,Reserva Natural de l'Albufereta,2017-04-29,4,39.8588,3.093097,1.0
Passer domesticus,Illes Baleares,"Sa Roca/es Cibollar/C. Informació, P.N. s'Albufera de Mallorca",2017-01-30,1,39.79685,3.10544,0.0
Passer domesticus,Cantabria,Oyambre PNat--San Vicente de la Barquera,2017-10-27,10,43.38701,-4.394069,0.0
Passer domesticus,Extremadura,Villar de Plasencia--Pueblo,2017-10-28,10,40.138386,-6.029435,4.0
Passer domesticus,Murcia Región de,Salinas de San Pedro del Pinatar,2017-10-22,10,37.834015,-0.774236,0.0
Passer domesticus,Andalucía,Sierra de Andujar PNat--Presa del Encinarejo,2017-06-25,6,38.164158,-3.995064,0.0
Passer domesticus,Cantabria,Bahía de Santander--Marisma del Conde,2017-10-23,10,43.43067,-3.75608,0.0
Passer domesticus,Extremadura,"Santibáñez el Alto, Extremadura, ES (40,186, -6,548)",2017-12-10,12,40.18639,-6.548274,2.0
Passer domesticus,Extremadura,Embalse de Arrocampo--Observatorio 2,2017-11-25,11,39.84317,-5.683504,6.0
Passer domesticus,Castilla y León,Santa Eulalia de Tábara--Azud,2017-09-16,9,41.83223,-5.793539,0.0
Passer domesticus,Extremadura,Almaraz-Casco urbano,2017-10-25,10,39.8139,-5.675307,299.0
Passer domesticus,Madrid Comunidad de,Cuenca alta del Manzanares PNat--Emb. Santillana,2017-10-01,10,40.72608,-3.836871,0.0
Passer domesticus,Castilla-La Mancha,Toledo--casco histórico,2017-05-02,5,39.857113,-4.023571,0.0
Passer domesticus,Castilla y León,Lagunas de Villafáfila RNat--Área General,2017-06-13,6,41.840794,-5.594144,0.0
Passer domesticus,Illes Baleares,"ES-Balearic Islands-Llucmajor-Calle Palmera - 39,4767x2,8343",2017-01-31,1,39.47665,2.834269,0.0
Passer domesticus,Andalucía,Doñana PN--Area General,2017-02-25,2,37.026566,-6.442108,0.0
Passer domesticus,Illes Baleares,"ES-Balearic Islands-Llucmajor-Calle Palmera - 39,4767x2,8343",2017-02-01,2,39.47665,2.834269,0.0
Passer domesticus,Extremadura,Zarza de Granadilla--Vegas Río Ambroz,2017-10-17,10,40.20194,-6.055017,50.0
Passer domesticus,Andalucía,Estepona,2017-10-04,10,36.41464,-5.155976,0.0
Passer domesticus,Castilla-La Mancha,Consuegra -- Zona Esteparia,2017-04-05,4,39.454487,-3.648748,0.0
Passer domesticus,Galicia,"A Corredoira, Cervo, Cedeira",2017-12-06,12,43.69409,-8.032973,0.0
Passer domesticus,Extremadura,Laguna de Galisteo,2017-10-12,10,39.994667,-6.283732,25.0
Passer domesticus,Cataluña,St. Martí d'Empúries--Riera de la Munttanlla,2017-06-03,6,42.13763,3.109767,0.0
Passer domesticus,Illes Baleares,"Son Bosc/Depuradora, P.N. s'Albufera de Mallorca",2017-04-28,4,39.77576,3.114796,1.0
Passer domesticus,Extremadura,Embalse de Portaje--General,2017-10-12,10,39.8789,-6.52766,30.0
Passer domesticus,Aragón,Embalse de La Loteta,2017-05-14,5,41.813484,-1.327887,0.0
Passer domesticus,Castilla y León,Rabanal de los Caballeros,2017-10-24,10,42.893345,-4.474836,0.0
Passer domesticus,Murcia Región de,"RambladelCañar,CT,SACIN,TR5",2017-12-29,12,37.630913,-1.156079,13.0
Passer domesticus,Extremadura,Valencia de Mombuey--Barranco de las Piedras,2017-08-27,8,38.20873,-7.059683,5.0
Passer domesticus,Illes Baleares,Parc Natural des Salobrar (Zona central),2017-01-29,1,39.35905,3.008964,0.0
Passer domesticus,Cataluña,Riu Segre a Sant Pere (La Seu d'Urgell),2017-01-05,1,42.35829,1.481395,115.0
Passer domesticus,Valenciana Comunidad,Sierra del Molar,2017-01-18,1,38.14815,-0.657782,25.0
Passer domesticus,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-04-25,4,39.142498,2.938875,1.0
Passer domesticus,Madrid Comunidad de,Embalse de Valmayor,2017-11-19,11,40.561,-4.049664,0.0
Passer domesticus,Andalucía,Desembocadura del Guadalhorce--Área General,2017-07-08,7,36.672825,-4.456029,6.0
Passer domesticus,Extremadura,Laguna de Galisteo,2017-09-29,9,39.994667,-6.283732,12.0
Passer domesticus,Andalucía,Granada--Alhambra,2017-06-24,6,37.177864,-3.588275,5.0
Passer domesticus,Extremadura,Villar de Plasencia--Pueblo,2017-11-07,11,40.138386,-6.029435,2.0
Passer domesticus,Extremadura,Oliva de Plasencia--Charca de Fresnedilla,2017-10-17,10,40.164917,-6.084013,6.0
Passer domesticus,Castilla y León,Lagunas de Villafáfila RNat--Área General,2017-11-12,11,41.840794,-5.594144,0.0
Passer domesticus,Extremadura,"Riomalo de Arriba CC, Pueblo y alrededores",2017-05-14,5,40.457474,-6.257064,12.0
Passer domesticus,Valenciana Comunidad,Marjal de Pego-Oliva PNat,2017-06-14,6,38.864506,-0.051284,0.0
Passer domesticus,Galicia,Parroquia de Bruicedo,2017-07-14,7,43.09288,-7.177832,0.0
Passer domesticus,Extremadura,Valencia de Mombuey--Barranco de las Piedras,2017-08-26,8,38.20873,-7.059683,2.0
Passer domesticus,Cataluña,Barcelona--Parc del Poblenou,2017-11-08,11,41.397156,2.206831,0.0
Passer domesticus,Murcia Región de,Salinas de San Pedro del Pinatar,2017-03-11,3,37.834015,-0.774236,1.0
Passer domesticus,Extremadura,Serradilla--Solana Sª Santa Catalina,2017-12-03,12,39.836674,-6.166834,5.0
Passer domesticus,Cataluña,Barcelona--Montjuïc-Àrea General,2017-07-31,7,41.364986,2.154785,0.0
Passer domesticus,Cataluña,Serrat i prats de Corrotes,2017-05-05,5,42.31662,1.085633,50.0
Passer domesticus,Extremadura,Valencia de Mombuey--Barranco de las Piedras,2017-09-16,9,38.20873,-7.059683,5.0
Passer domesticus,Madrid Comunidad de,Sureste PNat--Soto de las Juntas,2017-03-04,3,40.31275,-3.528526,0.0
Passer domesticus,Madrid Comunidad de,Embalse de Picadas,2017-06-18,6,40.3394,-4.261236,0.0
Passer domesticus,Murcia Región de,"RambladelCañar,CT,SACIN,TR2",2017-12-29,12,37.628292,-1.154332,3.0
Passer domesticus,Madrid Comunidad de,Monte de El Pardo--Cerro Marmota,2017-09-21,9,40.60781,-3.80753,0.0
Passer domesticus,Extremadura,Galisteo--Arrozales de la Dehesa (transformados),2017-03-19,3,40.003162,-6.277959,0.0
Passer domesticus,Castilla-La Mancha,Corral-Rubio,2017-12-07,12,38.83542,-1.460109,4.0
Passer domesticus,Andalucía,Caleta de Velez--Puerto,2017-02-27,2,36.747757,-4.067609,0.0
Passer domesticus,Illes Baleares,"ES-Balearic Islands-Llucmajor-Calle Palmera - 39,4767x2,8343",2017-01-29,1,39.47665,2.834269,0.0
Passer domesticus,Castilla-La Mancha,Toledo--Mirador del Valle,2017-05-02,5,39.85039,-4.021897,0.0
Passer domesticus,Asturias Principado de,Tiatordos,2017-05-20,5,43.175537,-5.2249,0.0
Passer domesticus,Aragón,Nerín,2017-05-18,5,42.574368,0.01877,7.0
Passer domesticus,Extremadura,Embalse de Arrocampo--Observatorio 2,2017-10-25,10,39.84317,-5.683504,50.0
Passer domesticus,Extremadura,Embalse de Gabriel y Galán--Sureste,2017-12-15,12,40.240505,-6.101387,3.0
Passer domesticus,Galicia,Cervo--San Cibrao (Praia do Torno),2017-02-18,2,43.697765,-7.440695,5.0
Passer domesticus,Castilla y León,Almaluez--Pueblo y entorno,2017-03-18,3,41.285805,-2.264771,11.0
Passer domesticus,Navarra Comunidad Foral de,Monte Ezkaba-San Cristóbal,2017-11-18,11,42.851852,-1.668742,30.0
Passer domesticus,Illes Baleares,"Es Forcadet/Camí dels Polls, P.N. s'Albufera de Mallorca",2017-04-27,4,39.78951,3.076906,1.0
Passer domesticus,Cataluña,Estany de Sils,2017-09-16,9,41.80248,2.741346,0.0
Passer domesticus,Castilla y León,Zamora--Río Duero,2017-08-05,8,41.499138,-5.74495,0.0
Passer domesticus,Madrid Comunidad de,Madrid--Real Jardín Botánico,2017-09-18,9,40.41103,-3.691182,5.0
Passer domesticus,Andalucía,Spain - Plana de inundación del Partido - Spain - Huelva (37.13383902 - -6.46276385),2017-02-19,2,37.13384,-6.462764,1.0
Passer domesticus,Extremadura,Embalse de la Serena--Embarcadero de Peñalsordo,2017-01-22,1,38.830856,-5.109455,0.0
Passer domesticus,Andalucía,Doñana PN--Palacio del Acebrón,2017-02-25,2,37.14465,-6.547937,0.0
Passer domesticus,Extremadura,"La Granja, ES (40,223, -5,993)",2017-09-21,9,40.22279,-5.992827,2.0
Passer domesticus,Castilla y León,Rabanal de los Caballeros,2017-10-25,10,42.893345,-4.474836,0.0
Passer domesticus,Cataluña,Estany de Banyoles,2017-06-09,6,42.124214,2.755444,0.0
Passer domesticus,Madrid Comunidad de,Parque El Retiro-Madrid,2017-12-02,12,40.416504,-3.68351,4.0
Passer domesticus,Andalucía,Doñana PN--Area General,2017-10-20,10,37.026566,-6.442108,12.0
Passer domesticus,Extremadura,Embalse de Arrocampo--Observatorio 2,2017-09-27,9,39.84317,-5.683504,8.0
Passer domesticus,Madrid Comunidad de,Cuenca Alta Manzanares PN--Bco Manzanares,2017-09-04,9,40.630436,-3.796678,0.0
Passer domesticus,Extremadura,Embalse de Valdecañas--El Gordo,2017-04-03,4,39.86515,-5.356653,0.0
Passer domesticus,Extremadura,la parra,2017-01-01,1,38.518723,-6.625666,0.0
Passer domesticus,Extremadura,El Gasco--Pueblo,2017-05-14,5,40.398476,-6.319714,7.0
Passer domesticus,Valenciana Comunidad,"C. Valenciana, P Park and around",2017-03-15,3,37.941452,-0.713124,1.0
Passer domesticus,Navarra Comunidad Foral de,Artica--Parque de los Aromas,2017-11-12,11,42.83203,-1.656515,50.0
Passer domesticus,Illes Baleares,Lluc,2017-04-24,4,39.822453,2.883539,1.0
Passer domesticus,Extremadura,"Dehesas de Jarilla, Extremadura, ES (40,184, -6,047)",2017-10-17,10,40.183697,-6.047195,100.0
Passer domesticus,Castilla y León,Embalse del Ebro--Área General (Burgos),2017-05-13,5,43.011017,-3.912334,1.0
Passer domesticus,Illes Baleares,Reserva Natural de l'Albufereta,2017-04-22,4,39.8588,3.093097,1.0
Passer domesticus,Extremadura,Sauceda--Pueblo y Piscina Natural,2017-10-10,10,40.299637,-6.360435,9.0
