species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Grus grus,Extremadura,Monfragüe PN--General (use specific hotspot if possible),2017-11-29,11,39.828617,-6.002726,120.0
Grus grus,Aragón,Embalse de La Loteta,2017-05-19,5,41.813484,-1.327887,1.0
Grus grus,Extremadura,Moheda Alta--Arrozales de la Balsa,2017-12-02,12,39.16619,-5.478144,2000.0
Grus grus,Andalucía,Doñana PN--Area General,2017-02-25,2,37.026566,-6.442108,0.0
Grus grus,Extremadura,Zarza de Granadilla--Vegas Río Ambroz,2017-11-02,11,40.20194,-6.055017,500.0
Grus grus,Navarra Comunidad Foral de,Laguna de Dos Reinos EN,2017-01-17,1,42.32895,-1.366939,400.0
Grus grus,Extremadura,Embalse de El Borbollón,2017-11-11,11,40.129837,-6.565729,5000.0
Grus grus,Extremadura,Embalse de Arrocampo--Observatorio 2,2017-11-25,11,39.84317,-5.683504,0.0
Grus grus,Extremadura,Oliva de Plasencia--Laguna del Estanco,2017-12-11,12,40.124973,-6.085411,4.0
Grus grus,Extremadura,Zarza de Granadilla--Vegas Río Ambroz,2017-10-17,10,40.20194,-6.055017,3.0
Grus grus,Extremadura,Embalse de El Borbollón,2017-12-10,12,40.129837,-6.565729,4000.0
Grus grus,Extremadura,Oliva de Plasencia--Charca de Fresnedilla,2017-12-11,12,40.164917,-6.084013,200.0
Grus grus,Castilla-La Mancha,Serranía de Cuenca PNat--Laguna de Uña (mirador y senda circular),2017-10-31,10,40.225273,-1.973212,0.0
Grus grus,Aragón,Embalse de La Loteta,2017-05-14,5,41.813484,-1.327887,1.0
Grus grus,Castilla y León,Lagunas de Villafáfila RNat--Área General,2017-11-12,11,41.840794,-5.594144,0.0
Grus grus,Extremadura,Villar de Plasencia--Pueblo,2017-11-07,11,40.138386,-6.029435,20.0
Grus grus,Aragón,Laguna de Gallocanta--Área general,2017-11-03,11,40.970238,-1.50444,0.0
Grus grus,Castilla y León,Lagunas de Villafáfila RNat--Área General,2017-12-30,12,41.840794,-5.594144,3.0
Grus grus,Extremadura,Embalse de la Serena--Embarcadero de Peñalsordo,2017-01-22,1,38.830856,-5.109455,656.0
Grus grus,Castilla-La Mancha,Tablas de Daimiel PN--Area general (Intentar usar Hot spot más específicos),2017-01-03,1,39.15481,-3.69544,0.0
Grus grus,Aragón,Laguna Gallocanta--Área General (Teruel),2017-01-26,1,40.949783,-1.480649,0.0
Grus grus,Andalucía,Spain - Plana de inundación del Partido - Spain - Huelva (37.134 - -6.4653),2017-02-20,2,37.134,-6.4653,1.0
Grus grus,Extremadura,Galisteo--Arrozales de la Dehesa (transformados),2017-12-21,12,40.003162,-6.277959,3.0
Grus grus,Extremadura,Embalse de Gabriel y Galán--Sureste,2017-12-15,12,40.240505,-6.101387,2737.0
Grus grus,Valenciana Comunidad,El Hondo PNat--Ruta Roja,2017-11-19,11,38.200336,-0.761155,8.0
Grus grus,Castilla-La Mancha,ZONA ESTEPARIA LAGUNA DE SALICOR,2017-02-26,2,39.45129,-3.162837,300.0
Grus grus,Castilla-La Mancha,carretera Molina de Aragón - Sigüenza,2017-11-04,11,41.039734,-2.456845,100.0
