species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Streptopelia turtur,Illes Baleares,Península de Formentor,2017-09-01,9,39.947628,3.180177,0.0
Streptopelia turtur,Castilla-La Mancha,Dehesa de Fuertescusa,2017-08-19,8,40.469063,-2.151153,1.0
Streptopelia turtur,Andalucía,Zapata,2017-10-21,10,36.696373,-4.515916,10.0
Streptopelia turtur,Andalucía,La Janda--Área General,2017-09-18,9,36.238476,-5.788976,4.0
Streptopelia turtur,Aragón,Embalse de La Loteta,2017-04-27,4,41.813484,-1.327887,2.0
Streptopelia turtur,Galicia,Teso de Centigosa,2017-06-14,6,43.092133,-7.199386,1.0
Streptopelia turtur,Aragón,Embalse de La Loteta,2017-05-19,5,41.813484,-1.327887,2.0
Streptopelia turtur,Andalucía,Sierra de Andujar PNat--Presa del Encinarejo,2017-06-25,6,38.164158,-3.995064,0.0
Streptopelia turtur,Cataluña,Plans de Sió--Conill,2017-07-14,7,41.70925,1.151967,1.0
Streptopelia turtur,Cataluña,Barcelona--Montjuïc-Àrea General,2017-09-06,9,41.364986,2.154785,1.0
Streptopelia turtur,Andalucía,La Janda--Área General,2017-09-21,9,36.238476,-5.788976,10.0
Streptopelia turtur,Canarias,Embalse de las Peñitas,2017-06-25,6,28.38824,-14.0991,6.0
Streptopelia turtur,Extremadura,Rincón de Ballesteros--Cº de Cordobilla,2017-05-02,5,39.20739,-6.372175,1.0
Streptopelia turtur,Andalucía,Los Alcornocales PNat--El Cuartón,2017-09-18,9,36.064583,-5.53482,1.0
Streptopelia turtur,Canarias,Granja de Guatiza,2017-09-13,9,29.042418,-13.487217,2.0
Streptopelia turtur,Canarias,PN Timanfaya -- Echadero de los Camellos,2017-09-12,9,28.991474,-13.742394,2.0
Streptopelia turtur,Madrid Comunidad de,Cuenca Alta Manzanares PN--Bco Manzanares,2017-09-04,9,40.630436,-3.796678,2.0
Streptopelia turtur,Canarias,Puerto de la Cruz--Jardín Botánico,2017-03-20,3,28.411001,-16.535196,0.0
Streptopelia turtur,Andalucía,Cádiz--Terminal Marítimo,2017-06-16,6,36.53123,-6.288414,0.0
Streptopelia turtur,Galicia,Cambados,2017-06-22,6,42.51301,-8.81616,1.0
Streptopelia turtur,Andalucía,Benavista,2017-06-23,6,36.466034,-5.031684,0.0
Streptopelia turtur,Illes Baleares,Barranc d'Algendar (Capcelera),2017-09-06,9,39.976826,3.98308,1.0
Streptopelia turtur,Castilla y León,Laguna Sotillo Bajero,2017-07-12,7,41.251293,-3.97918,1.0
Streptopelia turtur,Extremadura,Monfragüe PN--General (use specific hotspot if possible),2017-05-08,5,39.828617,-6.002726,1.0
Streptopelia turtur,Illes Baleares,Prat de Son Saura,2017-07-22,7,40.02791,4.155751,15.0
Streptopelia turtur,Castilla-La Mancha,"Rebollar de Navalpotro, ZEC",2017-05-19,5,40.94862,-2.591246,1.0
Streptopelia turtur,Illes Baleares,Prat de son Bou,2017-07-25,7,39.901474,4.071336,1.0
Streptopelia turtur,Galicia,San Sadurniño--Golpilleira (Santa Mariña do Monte),2017-05-14,5,43.56761,-8.089025,1.0
Streptopelia turtur,Illes Baleares,Villa Llompart,2017-10-12,10,39.85407,3.062848,0.0
Streptopelia turtur,Cataluña,sanauja,2017-05-26,5,41.85257,1.331806,1.0
Streptopelia turtur,Galicia,San Sadurniño--Golpilleira (Santa Mariña do Monte),2017-06-17,6,43.56761,-8.089025,1.0
Streptopelia turtur,Castilla-La Mancha,Laguna del Pozo de la Cambronera,2017-05-31,5,39.360626,-3.2494,2.0
Streptopelia turtur,Illes Baleares,Vall de Bóquer,2017-05-05,5,39.91803,3.080978,4.0
Streptopelia turtur,País Vasco,Txingudi--Plaiaundi,2017-09-16,9,43.34896,-1.792598,1.0
Streptopelia turtur,Andalucía,Sierra de Grazalema PNat--Llanos del Republicano,2017-06-18,6,36.6905,-5.372078,0.0
Streptopelia turtur,Cantabria,Santander--Playa De La Magdalena,2017-04-24,4,43.46698,-3.774173,0.0
Streptopelia turtur,Castilla y León,Pedralba de la Pradería--Lobeznos-Presa de San Miguel,2017-08-20,8,42.048435,-6.67082,0.0
Streptopelia turtur,Cataluña,Embassament de Rialp- Nord,2017-05-18,5,42.03257,1.290884,4.0
Streptopelia turtur,Illes Baleares,Binissafuller,2017-06-28,6,39.82785,4.227922,1.0
Streptopelia turtur,Castilla-La Mancha,La Yunta,2017-07-20,7,40.912598,-1.67086,0.0
Streptopelia turtur,Castilla-La Mancha,La Yunta,2017-07-18,7,40.912598,-1.67086,0.0
Streptopelia turtur,Castilla y León,Aguilar de Campóo--Embalse de Aguilar,2017-07-03,7,42.811016,-4.311034,0.0
Streptopelia turtur,Castilla-La Mancha,La Yunta,2017-06-16,6,40.912598,-1.67086,0.0
Streptopelia turtur,Castilla-La Mancha,La Yunta,2017-06-15,6,40.912598,-1.67086,5.0
Streptopelia turtur,Extremadura,Torrejón el Rubio--Río Almonte (Puente EX-208),2017-05-13,5,39.66474,-5.939441,1.0
Streptopelia turtur,Illes Baleares,Prat de son Bou,2017-07-19,7,39.901474,4.071336,2.0
Streptopelia turtur,Castilla-La Mancha,"Rebollar de Navalpotro, ZEC",2017-06-16,6,40.94862,-2.591246,3.0
Streptopelia turtur,Canarias,"Parque Anaga, Tenerife, Islas Canarias",2017-06-01,6,28.564468,-16.156197,2.0
Streptopelia turtur,Illes Baleares,Prat de son Bou,2017-07-23,7,39.901474,4.071336,3.0
Streptopelia turtur,Canarias,Buenavista del Norte--Ctra de las Portelas,2017-05-28,5,28.325705,-16.852953,4.0
Streptopelia turtur,Illes Baleares,"Sa Roca/es Cibollar/C. Informació, P.N. s'Albufera de Mallorca",2017-05-02,5,39.79685,3.10544,3.0
Streptopelia turtur,Galicia,Vila de Cruces--Brandomés,2017-07-24,7,42.819355,-8.312681,1.0
